id	url	title	author	description	level	totalTime	prepTime	inactiveTime	cookTime	yield	ingredients	directions
dc40dd3581655095f1be71fa9243a9d8	https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-green-gazpacho-and-smoky-quesadilla-3363248	10Minute Green Gazpacho and Smoky Quesadilla	Food Network Kitchen	This cool summer meal comes together very quickly thanks to clever shortcuts. We add ice water to the soup just before blending, eliminating chilling time, and broil the quesadillas on a baking sheet so they can be cooked simultaneously. They crisp up in just a couple of minutes!	Easy	15	10	-1	5	4 servings	1/2 cup sour cream__1 English cucumber roughly chopped (about 8 ounces)__1 small clove garlic, grated__1 scallion, thinly sliced, white and green parts separated__1 scallion, thinly sliced, white and green parts separated__Fine salt__1 medium green tomato, roughly chopped (about 8 ounces)__1/3 cup extra-virgin olive oil, plus more for drizzling__One 15-ounce can cannellini beans, strained and rinsed__Freshly ground black pepper__Four 8-inch flour tortillas__6 slices smoked gouda cheese (about 6 ounces)__Sliced pickled jalapenos, for serving	Preheat the broiler with a rack set about 4 inches from the heat source.__Put 1/4 cup of the sour cream, 1/4 cup iced water mixed with ice cubes, the sliced cucumbers, garlic, scallion whites and a large pinch salt in a blender. Blend until mostly smooth, then add the tomatoes. Blend until smooth, then remove the small cap on the lid of the blender and slowly drizzle in 1/4 cup of the oil while the blender is running. Season with additional salt if needed. Place the soup in the freezer while you prepare the quesadillas.__Place the cannellini beans and a pinch black pepper in a bowl, and roughly mash with the back of a fork. Place 2 of the tortillas on a baking sheet without letting them overlap. Brush one side of the tortillas with some of the remaining olive oil. Flip, so the oiled side is directly on the baking sheet. Divide the mashed cannellini beans between the two tortillas and use a fork or your fingers to spread the mixture evenly on the tortillas, leaving a 1/2-inch border around the edge. Lay 3 pieces of the cheese on top of the beans on each tortilla (it is okay if the cheese overlaps slightly). Top with the remaining 2 tortillas and brush the tops of the tortillas with the remaining oil.__Place the quesadillas under the broiler and cook until the top tortillas are crisp and lightly golden brown, about 1 minute. Use a spatula to flip the quesadillas and cook until the cheese is completely melted and the tortillas are crisp and lightly golden brown, about 1 additional minute. Cut each into 6 wedges.__To serve, ladle (or pour directly from the blender carafe) the soup in to 4 chilled bowls and drizzle with additional olive oil and several grindings of freshly ground black pepper and some of the sliced green scallions. Serve 3 pieces of quesadilla on the side of each bowl of soup along with a dollop of the remaining sour cream and some pickled jalapenos.
914c33b05f1cc01f869e74791a341ce9	https://www.foodnetwork.com/recipes/jeff-mauro/1-smore-for-the-road-and-kiddie-smores-recipe-2033028	1 Smore for the Road and Kiddie Smores	Jeff Mauro		Easy	-1	-1	-1	-1	Sixteen 1 S'more for the Road and 8 Kiddie S'mores	Nonstick canola oil spray__1 pound marshmallow creme__4 tablespoons unsalted butter, melted and cooled__1/2 cup powdered sugar__1/3 cup miniature chocolate-covered candies, such as M and M's, plus more for garnish__2 tablespoons bourbon__1 teaspoon vermouth__1 teaspoon grenadine__24 whole graham crackers, each broken carefully in half__80 stackable marshmallows (2 bags)__Six 4-ounce bars high-quality semisweet chocolate, chopped__Optional serving suggestions: Manhattan's (for the adults) or chocolate milk (for the kids)	Coat a large microwave-safe bowl with nonstick spray. Add the marshmallow creme and microwave until warmed through and slightly puffed, 30 to 45 seconds. Add the butter and powdered sugar and whip with a hand mixer until light and fluffy, 1 to 2 minutes. Transfer half of the mixture to another bowl coated with nonstick spray and fold in the candies. Set aside until ready to use.__Add the bourbon, vermouth and grenadine to the remaining marshmallow mixture and whip with a hand mixer until well combined. Set aside until ready to use.__To build the "1 s'more for the road": On a cooling rack over a half baking sheet, lay down 32 of the graham cracker halves. Spread 1 1/2 teaspoons of the "Manhattan" marshmallow creme on each graham cracker half. Place 4 stackable marshmallows on 16 of the graham cracker halves. Top with the remaining graham cracker halves.__To build the kiddie s'mores: On a cooling rack over a half baking sheet, lay down the remaining 16 graham cracker halves. Spread 1 tablespoon of "kiddie" marshmallow creme on each graham cracker half. Place 2 stackable marshmallows on 8 of the graham cracker halves. Top with the remaining graham cracker halves.__In a metal bowl set over a saucepan with about 1 inch of simmering water in it, melt the semisweet chocolate over medium-low heat until completely smooth, stirring constantly, 5 to 7 minutes. Once the chocolate is melted, turn the heat off below the pan. Pour 2 tablespoons of the melted chocolate on top of each s'more, letting the chocolate drip down the sides. Once the s'mores are finished, let the chocolate harden at room temperature for an hour (or if you are in a hurry, then let set up in the refrigerator for 15 minutes).__Serve with a side of Manhattans for the adults and some chocolate milk for the kids.
0b7d63d081186740cb4a575dba843db0	https://www.foodnetwork.com/recipes/ina-garten/16-bean-pasta-e-fagioli-1-3753755	16 Bean Pasta e Fagioli	Ina Garten		Intermediate	-1	-1	-1	-1	6 servings	1 (1-pound) bag 16 Bean Soup Mix__2 tablespoons good olive oil, plus extra for serving__6 ounces pancetta, 1/4-inch-diced__1 large onion, chopped__1 tablespoon minced garlic (3 cloves)__1/2 teaspoon crushed red pepper flakes__1 (28-ounce) can crushed tomatoes__1 cup dry red wine__4 to 6 cups good chicken stock, preferably homemade__Kosher salt and freshly ground black pepper__1 cup miniature pasta, such as ditalini or tubettini__1/2 cup freshly grated Italian Parmesan cheese, plus extra for serving__1 tablespoon good red wine vinegar__Julienned fresh basil leaves, for serving	The day before you plan to make the soup, place the bean mix in a large bowl, add cold water to cover by 2 inches, and refrigerate overnight. The next day, drain the beans, rinse under cold running water, and drain again. Place the beans in a large pot with 8 cups of cold water. Bring to a boil, lower the heat, and simmer for 1 hour. Stir occasionally and skim off any foam that rises to the top. The beans should be very tender and the skin will peel away when you blow on a bean.__Meanwhile, heat the oil in a medium (10-inch) stockpot or Dutch oven over medium heat. Add the pancetta and onion and saute over medium to medium-high heat for 12 to 18 minutes, until browned. Add the garlic and red pepper flakes and saute for one minute. Add the tomatoes, wine, 4 cups of the chicken stock, 1 tablespoon salt, and 1 teaspoon black pepper and turn off the heat.__Drain the beans and add two-thirds of them to the soup. Pass the remaining beans through a food mill, discarding the skins. Stir the bean puree and the pasta into the soup, bring to a boil, lower the heat, and simmer for 20 to 30 minutes, stirring occasionally, until the pasta is tender. Add up to 2 more cups chicken stock if the soup is too thick. Stir in the Parmesan and the vinegar. Ladle the soup into large shallow bowls and add a swirl of olive oil, a sprinkle of Parmesan, and some basil. Serve hot with extra Parmesan on the side.
06568b9ed2a4b1df9a9ed075bb0a5e60	https://www.foodnetwork.com/recipes/ree-drummond/11-carton-cake-5399500	11Carton Cake	Ree Drummond	The word "carton" in the title refers to a 6-ounce yogurt carton, which is used to measure most of the ingredients in this easy-to-assemble cake. Just make sure to rinse and dry the carton before using it to measure out the dry ingredients.	Easy	-1	-1	-1	-1	12 servings	Nonstick cooking spray, for the cake pan__One 6-ounce carton vanilla yogurt (reserve the carton for measuring other ingredients)__One 6-ounce carton vegetable oil__One 6-ounce carton granulated sugar__2 large eggs, at room temperature__Two 6-ounce cartons cake flour__One 6-ounce carton unsweetened cocoa__1 1/2 teaspoons vanilla extract__1/2 teaspoon baking soda__1/2 teaspoon baking powder__One 6-ounce carton milk__One 6-ounce carton mini semisweet chocolate chips__Two 6-ounce cartons confectioners' sugar__1 1/2 sticks (12 tablespoons) salted butter, softened__1/2 teaspoon vanilla extract__One 6-ounce carton mini semisweet chocolate chips	For the cake: Position an oven rack in the middle of the oven and preheat to 350 degrees F. Spray a 10-inch round cake pan with a layer of nonstick cooking spray.__To a large mixing bowl, add the yogurt, oil and granulated sugar (using the yogurt carton as the measure) and the eggs; beat together with a hand whisk until everything is incorporated and smooth, 1 to 2 minutes.__Next, add the cake flour and cocoa using the carton as the measure, then the vanilla, baking soda and baking powder; beat together until incorporated, 1 to 2 minutes more. Add the milk and mini chocolate chips (using the carton) and mix until incorporated.__Pour the batter into the prepared cake pan and bake until a cake tester inserted into the center of the cake comes out clean, 35 to 40 minutes. Let cool in the cake pan for 30 minutes, then remove the cake to a cooling rack and allow it to cool for another 30 minutes.__For the vanilla buttercream frosting: Add the confectioners' sugar (measured in the carton), butter and vanilla to the bowl of an electric mixer fitted with a paddle attachment and beat until smooth and creamy, 2 to 3 minutes. Spread over the top of the cooled cake in a thick layer and sprinkle with the mini chocolate chips (measure in the carton).
1c3e0f1ee9d6df293c9742d50b193d40	https://www.foodnetwork.com/recipes/ina-garten/16-bean-pasta-e-fagioli-3612570	16 Bean Pasta E Fagioli	Ina Garten		Easy	-1	-1	-1	-1	6 servings	1 (1-pound) bag Goya 16 Bean Soup Mix__2 tablespoons good olive oil, plus extra for serving__6 ounces pancetta, 1/4-inch-diced__1 large onion, chopped__1 tablespoon minced garlic (3 cloves)__1/2 teaspoon crushed red pepper flakes__1 (28-ounce) can crushed tomatoes, preferably San Marzano__1 cup dry red wine__4 to 6 cups good chicken stock, preferably homemade__Kosher salt and freshly ground black pepper__1 cup miniature pasta, such as ditalini or tubettini__1/2 cup freshly grated Italian Parmesan cheese, plus extra for serving__1 tablespoon good red wine vinegar__Julienned fresh basil leaves, for serving	The day before you plan to make the soup, place the bean mix in a large bowl, add cold water to cover by 2 inches and refrigerate overnight. The next day, drain the beans, rinse under cold running water and drain again. Place the beans in a large pot with 8 cups of cold water. Bring to a boil, lower the heat and simmer for 1 hour. Stir occasionally and skim off any foam that rises to the top. The beans should be very tender and the skin will peel away when you blow on a bean.__Meanwhile, heat the oil in a medium (10-inch) stockpot or Dutch oven over medium heat. Add the pancetta and onion and saute over medium to medium-high heat for 12 to 18 minutes, until browned. Add the garlic and red pepper flakes and saute for one minute. Add the tomatoes, wine, 4 cups of the chicken stock, 1 tablespoon salt and 1 teaspoon black pepper and turn off the heat.__Drain the beans and add two-thirds of them to the soup. Pass the remaining beans through a food mill, discarding the skins. Stir the bean puree and the pasta into the soup, bring to a boil, lower the heat and simmer for 20 to 30 minutes, stirring occasionally, until the pasta is tender. Add up to 2 more cups chicken stock if the soup is too thick. Stir in the Parmesan and the vinegar. Ladle the soup into large shallow bowls and add a swirl of olive oil, a sprinkle of Parmesan and some basil. Serve hot with extra Parmesan on the side.
f37aa9c26c741e9f3215685ae146fa81	https://www.foodnetwork.com/recipes/jeff-mauro/123-asian-dressing-3470809	123 Asian Dressing	Jeff Mauro		Easy	-1	-1	-1	-1	1/2 cup	3 tablespoons creamy peanut butter__2 tablespoons brown sugar__1 tablespoon soy sauce__Squirt of sriracha, plus more if needed__1 lime, zested and juiced, plus more lime juice, if needed__For serving: red leaf lettuce, romaine, mandarin oranges and crispy wonton noodles	Mix together the peanut butter, brown sugar, soy sauce, sriracha, lime zest and juice and some hot water in a small bowl until the dressing reaches the desired consistency, adding a bit more hot water or lime juice to thin it out if it's too thick. If you want it more spicy, add some more sriracha.__Serve over red leaf and romaine lettuce with mandarin oranges and crispy wonton noodles.
a2ec77064b5f2e77170c6644bf7671e9	https://www.foodnetwork.com/recipes/food-network-kitchen/15-minute-stir-fried-steak-tacos-3362965	15Minute StirFried Steak Tacos	Food Network Kitchen	We slice skirt steak and cook it quickly at a high temperature to save time and keep the meat tender. Make sure you save the super flavorful collected juices from the steak and onions to drizzle on your tacos.	Easy	15	5	-1	10	4 servings	1 pound skirt steak__1 tablespoon chili powder__1/2 teaspoon dried oregano__1/4 teaspoon sugar__Kosher salt and freshly ground black pepper__Eight 6-inch corn tortillas__1 tablespoon vegetable oil__1 medium red onion, halved and cut into 1/4-inch-thick slices__Sour cream, guacamole, salsa verde, pico de gallo and shredded Mexican-blend cheese, for serving	Cut the steak along the grain into 3-inch pieces, then slice each piece across the grain into 1/3-inch-thick strips. Toss the steak in a medium bowl with the chili powder, oregano, sugar, 3/4 teaspoon salt and a few grinds of pepper.__Heat a large nonstick skillet over high heat. Meanwhile, wrap the tortillas in a clean dishcloth, and microwave at 100 percent for 1 minute. Let sit, wrapped in the dishcloth, until ready to serve.__When the skillet is hot, add the oil. Add the seasoned steak in an even layer. Don't stir for 2 minutes, then give the steak a good stir and let cook until browned, about 1 1/2 minutes more. Transfer the steak to a medium bowl. Immediately add the onions to the skillet, and stir until brown and slightly softened, about 1 1/2 minutes; transfer to the bowl with the steak, and stir to combine.__Set up a taco bar with the steak and onions, wrapped tortillas, sour cream, guacamole, salsa verde, pico de gallo and cheese.
f3d860db59f466830be68005b88ad6dd	https://www.foodnetwork.com/recipes/food-network-kitchen/10-minute-cracker-pumpkin-pie-7532611	10Minute Cracker Pumpkin Pie	Food Network Kitchen	Think of this no-bake dessert as an icebox cake crossed with pumpkin pie that features a creamy spiced filling layered between graham crackers. The guest-worthy treat comes together quickly and can be made ahead, perfect for stress-free entertaining (or anytime at all).	Easy	-1	-1	-1	-1	8 to 10 servings	One 15-ounce can pure pumpkin puree__One 14-ounce can sweetened condensed milk__2 cups cold heavy cream__1 tablespoon pumpkin pie spice__1 teaspoon vanilla-bean paste__45 graham crackers (each 2 1/2 by 5 inches)__1/4 cup toasted pecans, roughly chopped	Combine the pumpkin puree and the condensed milk in a large bowl.__Whip the cream, pie spice and vanilla paste in the bowl of a stand mixer fitted with a whisk attachment on low speed until combined. Increase the speed to medium and beat until stiff peaks form, 2 to 3 minutes.__Fold the whipped cream mixture into the pumpkin mixture with a flexible spatula in three additions, until no streaks remain.__Line the bottom of a 10-inch springform cake pan with a single layer of graham crackers, breaking up some of them to fill in any gaps. Spread 1 cup of the pumpkin-cream mixture evenly on top of the crackers. Add another layer of crackers and then spread with another 1 cup of the filling. Repeat until all the crackers and the filling are used up, ending with the filling.__Cover the pan tightly with plastic wrap and refrigerate until the cake is completely chilled, at least 8 hours and up to 12 hours.__To serve, remove the plastic wrap from the pan and run a thin paring knife along the edge of the cake. Remove the outer ring of the pan. Top with the toasted pecans.
b90efda4c199c23a791cfcb6a4a7e060	https://www.foodnetwork.com/recipes/ree-drummond/11-can-soup-and-cheesy-toast-8604023	11Can Soup and Cheesy Toast	Ree Drummond		Easy	-1	-1	-1	-1	6 servings	One 16-ounce jar sliced roasted peppers__One 15-ounce can diced tomatoes with garlic and basil__One 15-ounce can tomato sauce__One 15-ounce can cannellini beans, undrained__One 15-ounce can great Northern beans, undrained__One 15-ounce can chickpeas, undrained__One 15-ounce can minestrone soup__One 14.25-ounce can cut Italian green beans__One 14-ounce can quartered artichokes hearts__One 8-ounce can sliced mushrooms, pieces and stems__2 tablespoons prepared pesto__1 tablespoon dried parsley flakes__1/4 teaspoon dried Italian seasoning__Grated Parmesan, for serving__2 slices ciabatta__2 slices sandwich bread__1 cup shredded mozzarella__2 teaspoons grated Parmesan__1/2 teaspoon Italian seasoning__2 slices provolone cheese__4 slices American cheese singles	For the soup: Add the canned and jarred items, without draining, to a large pot: the roasted peppers, diced tomatoes, tomato sauce, cannellini beans, great Northern beans, chickpeas, minestrone, green beans, artichoke hearts, mushrooms and pesto. Heat over medium-high heat, stirring to combine. Add the dried parsley and Italian seasoning. Bring to a boil, reduce the heat and simmer until the flavors are combined and the soup thickens slightly, about1 hour.__For the cheesy toast: Preheat the broiler.__Lay the ciabatta and sandwich bread slices on a baking sheet. Sprinkle 1/2 cup shredded mozzarella on each ciabatta slice, then sprinkle each with half the Parmesan and Italian seasoning. Top each ciabatta slice with a slice of provolone. Lay 2 slices of American cheese on top of each slice of sandwich bread. Broil until the cheese is bubbly and starting to get really brown around the edges. Slice the toast in half diagonally.__Bowl up the soup, sprinkle with Parmesan and serve with a piece of the cheesy toast.
4507357bde1e34b9b2f603360200d61c	https://www.foodnetwork.com/recipes/1000-island-dressing-8050311	1000 Island Dressing			Easy	-1	-1	-1	-1	4 servings	4 tablespoons mayonnaise__1 1/2 teaspoons tomato ketchup__1 teaspoon tomato paste__1 1/2 teaspoons capers, finely chopped__1 teaspoon freshly squeezed lemon juice__Small pinch sea salt and freshly ground black pepper to taste	Mix all the ingredients together in a small serving bowl, whisking with a fork.__This dressing is delicious spooned over veggie burgers or served as a dip with crudites. I also love it drizzled over a festive vegetarian nut roast the next day in a sandwich. Any unused dressing can be stored in an airtight container in the fridge for up to 4 days.
